
Search terms report,,,,,,,,,,,
All time,,,,,,,,,,,
Search term,Match type,Added/Excluded,Campaign,Ad group,Clicks,Conversions,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %
urgent care on ocean ave s f,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,9.12,9.12,100.00%,100.00%
urgent care santa clara,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,10.83,10.83, --, --
urgent care nearest me,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0.9,USD,11.87,11.87,100.00%,100.00%
urgent care & mountain view,Broad match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.74,27.74,100.00%,100.00%
palo alto mountain view urgent care waiting time,Broad match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,19.83,19.83,100.00%,100.00%
dr optometrist near me,Broad match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,19.88,19.88,100.00%,100.00%
good meniere's disease doctor near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,7.68,7.68, --, --
urgent care joint venture,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,33.49,33.49,100.00%,100.00%
urgent care berkleey,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,2,0,USD,26.79,53.58,100.00%,100.00%
carbon health urgent care mountain view reviews,Phrase match (close variant),None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,25.39,25.39,100.00%,100.00%
golden gate urgent care san francisco ca 94110,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,15,15,50.00%,100.00%
doctors checkup at urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,18.64,18.64,100.00%,100.00%
medical access program doctors near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,9.16,9.16,100.00%,100.00%
sutter health urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,7,0,USD,16.05,112.32,98.88%,100.00%
doctor's office in chinatown,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,2.45,2.45,100.00%,100.00%
fitness doctors near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,2.22,2.22,100.00%,100.00%
ear wax removal doctor near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,3,0,USD,8.84,26.53,100.00%,100.00%
directurgent care,Phrase match (close variant),None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,1,USD,15.61,15.61,100.00%,100.00%
list of doctors who accept medi cal near me,Broad match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,18.35,18.35,100.00%,100.00%
urgent care free sf,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,8.81,8.81,100.00%,100.00%
carbon urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,19,1.5,USD,5.19,98.62,96.23%,98.11%
urgent care sayreville nj,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,8.45,8.45,100.00%,100.00%
best doctors near me,Broad match,None,Non-Brand - Doctors - SF - Mobile,Doctors,2,0,USD,16.57,33.13,100.00%,100.00%
direct urgen care telegraph berkeley,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,15.86,15.86,100.00%,100.00%
carbon health urgent xare appointment,Phrase match (close variant),None,Branded - CarbonHealth - SF,Urgent Care,1,1,USD,0.69,0.69,100.00%,100.00%
pediatric urgent care san francisco,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,2,0,USD,14.99,29.97,33.33%,100.00%
urgent care visit cost,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.95,27.95,100.00%,100.00%
urgent care hayes valley san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,17.83,17.83,50.00%,100.00%
mountain view dirct urgent care,Broad match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,5.27,5.27,100.00%,100.00%
find 24 7 urgent care sf,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,0.47,0.47, --, --
sutter urgent care san francisco,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,4,0,USD,16.15,64.58,100.00%,100.00%
urgent care berkeley,Phrase match,Excluded,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,3,0,USD,5.73,17.19,0.00%,90.00%
urgent care embarcedro center,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,8.35,8.35,100.00%,100.00%
urgent care chestnut street,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,9.2,9.2,0.00%,100.00%
urgent care in north beach san fran,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,9.15,9.15,100.00%,100.00%
urgent care sf second strett,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,1.55,1.55,100.00%,100.00%
urgent care open now,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,3.83,3.83,100.00%,100.00%
cpmc urgent care sf,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,15.57,15.57,100.00%,100.00%
best urgent care in bay area,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,8.75,8.75,0.00%,100.00%
golden gate urgent care lomabrd,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,13,13,100.00%,100.00%
urgent care shoulder injury,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,10.52,10.52,100.00%,100.00%
castro urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,4,0,USD,18.18,72.73,85.71%,100.00%
urgent care san francisco market,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,8.21,8.21,100.00%,100.00%
dore urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,3,0,USD,8.65,25.96,76.47%,100.00%
urgent care sf haight street,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,15.39,15.39,100.00%,100.00%
pain management urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,22.04,22.04,100.00%,100.00%
urgent care valencia sf,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,13.51,27.02,100.00%,100.00%
urgentcare sf,Exact match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,19.78,19.78,66.67%,100.00%
urgent care physical castro,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,2,0,USD,6.85,13.7,100.00%,100.00%
urgent care sf,Phrase match,Added,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,5,1,USD,8.45,42.27,87.10%,100.00%
urgent care neare,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,14.96,14.96,100.00%,100.00%
urgent care close to here,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,15.32,30.64,100.00%,100.00%
ucsf urgent care parnassus,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,10.39,20.77,33.33%,100.00%
adult urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,12.09,12.09,50.00%,100.00%
does urgent care do dermatology,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,9.38,9.38,100.00%,100.00%
doctor note for work urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,5.12,5.12,100.00%,100.00%
urgent care 94105,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,18.89,18.89,100.00%,100.00%
davis urgent care san francisco,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,13.57,13.57,100.00%,100.00%
novato urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,17.81,17.81,100.00%,100.00%
is urgent care expensive,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,7.78,7.78,100.00%,100.00%
zuckerberg urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,12.43,12.43,100.00%,100.00%
urgent care pharmacy,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,21.14,21.14,100.00%,100.00%
quick care,Exact match (close variant),None,Non-Brand - Urgent Care - MV - Exact - Mobile,Urgent Care,1,0,USD,21.25,21.25,100.00%,100.00%
castle urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,15.09,15.09,100.00%,100.00%
zuckerberg hospital urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,9.22,9.22,100.00%,100.00%
urgent care inner richmond,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,21.67,21.67,100.00%,100.00%
blue cross covered callifornia ergent care,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,11.62,11.62,100.00%,100.00%
sf general urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,7.41,7.41,33.33%,100.00%
urgent care for medi cruz,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,18.31,18.31,100.00%,100.00%
north beqach urget care,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,10.48,10.48,100.00%,100.00%
west lortal urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,11.67,11.67,100.00%,100.00%
urgent care fisherman's wharf,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,9,9,100.00%,100.00%
urgent care do stitches,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,13.07,13.07,100.00%,100.00%
urgent care without insurance cost,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,5.4,5.4,100.00%,100.00%
irgent care for childten on tekegrapfh,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,11.34,11.34,100.00%,100.00%
actionurgent care health clinic,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,1,USD,20.74,20.74,100.00%,100.00%
tang urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,14.95,14.95,100.00%,100.00%
parnasus urgent car,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,12.22,12.22,100.00%,100.00%
san francisco 24hour urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,12.55,12.55,0.00%,100.00%
what urgent care accepts aetna san fran,Broad match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,2,2,100.00%,100.00%
what services doesnurgent care provide,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,13.15,13.15,100.00%,100.00%
north beach urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,9.56,19.11,20.00%,100.00%
synergy health & urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,13.77,13.77,100.00%,100.00%
irgent care,Exact match (close variant),None,Non-Brand - Urgent Care - MV - Exact - Mobile,Urgent Care,1,0,USD,15.03,15.03,100.00%,100.00%
late night urgen care san francisco,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,7.45,7.45, --, --
urgent care on market at noe,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,12.2,12.2,100.00%,100.00%
united urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,17.53,17.53,100.00%,100.00%
pih urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,6.47,6.47,100.00%,100.00%
urgent care in the bay area,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,12.59,12.59,100.00%,100.00%
urgent care physical cost,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,1,USD,18.59,37.18,100.00%,100.00%
urgent care in san leandro,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,15.8,15.8,100.00%,100.00%
urgent care corte madera,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,5,0,USD,7.39,36.95,45.16%,100.00%
sun valley urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,18.23,18.23,100.00%,100.00%
urgent care free san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,3.8,3.8,100.00%,100.00%
urgent care sf,Exact match,Added,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,20,3.89,USD,11.08,221.57,91.16%,99.20%
direct urgent care san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,5,0,USD,9.17,45.85,94.12%,100.00%
do you haveto pay urgent care centre,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,21.76,21.76,100.00%,100.00%
mid atlantic urgent care arlington va,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,8.02,8.02,100.00%,100.00%
gohealth urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,6,0,USD,10.09,60.51,19.15%,97.87%
urgent care on market street sf,Broad match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,11.93,11.93,100.00%,100.00%
urgent care lancaster pa,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,13.61,13.61,100.00%,100.00%
sutter health urgent care uhc ppo,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,10.19,10.19,100.00%,100.00%
golden gate urgent care market st com,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,6.73,6.73,0.00%,100.00%
golden gate urgent care market st com,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,7.93,7.93,0.00%,100.00%
aurora urgent care mason street,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,11.31,11.31,100.00%,100.00%
sylvania urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,6.52,6.52,100.00%,100.00%
urgent care heartburn,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,6.93,6.93,50.00%,50.00%
sutter health urgent care antioch,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,21.76,21.76,100.00%,100.00%
direct urgent cate berkeley,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,10.37,10.37,0.00%,100.00%
urgent care mri,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,10.88,21.75,83.33%,100.00%
location of urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,17.32,17.32,100.00%,100.00%
st mary's urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,5,0,USD,14.37,71.85,50.00%,100.00%
urgent care with ultrasound,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,15.45,15.45,100.00%,100.00%
mountjn view urhent care,Exact match (close variant),None,Non-Brand - Urgent Care - MV - Exact - Mobile,Urgent Care,1,0,USD,21.73,21.73,100.00%,100.00%
children urgent care,Exact match,Added,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,2,0,USD,12.41,24.81,100.00%,100.00%
urgent care strawberry,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,10.38,10.38,0.00%,100.00%
blood work urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,10.39,10.39,0.00%,100.00%
urgent care fisherman's wharf,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,2,0,USD,1.3,2.59,100.00%,100.00%
scabies diagnosed at urgwnt care,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,13,13,100.00%,100.00%
firexturgwnt care,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,7.57,7.57,100.00%,100.00%
urgent care san francisco 94121,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,4.61,4.61,100.00%,100.00%
urgent care at market anf franklin,Broad match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,21.08,21.08,100.00%,100.00%
carbon health urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,9,0,USD,1.21,10.91,97.73%,97.73%
concentra urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,5,0,USD,8.04,40.19,70.18%,96.49%
urgent care 85295,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,18.22,18.22,100.00%,100.00%
cheap ugent care,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,8.35,8.35,100.00%,100.00%
sutterurgert care 2nd street,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,16.41,16.41, --, --
urgent care on market street,Exact match,Added,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,21.63,21.63, --, --
kaiser san francisco urgent care,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,9.83,9.83,0.00%,100.00%
closest urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,3,0,USD,8.04,24.12,60.00%,100.00%
veterans urgent care,Phrase match,Excluded,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,2,0,USD,7.25,14.5,100.00%,100.00%
when does a burn require urgent carw,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,4.85,4.85,100.00%,100.00%
copenhagen urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,2.71,2.71,100.00%,100.00%
common urgent care complaints,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,4.73,4.73,100.00%,100.00%
carbon urgent care thank you,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,3.38,3.38,100.00%,100.00%
urgent care sf afforable,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,20.35,20.35,100.00%,100.00%
dermatology doctors office,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,2,0,USD,21.85,43.7,100.00%,100.00%
dr duke office in elcerrito,Broad match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,7,7,100.00%,100.00%
medical assistant resume samples urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,25.55,25.55,100.00%,100.00%
sutter urgent care san francisco,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,11.55,11.55,81.25%,100.00%
lpch urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,29.9,29.9,100.00%,100.00%
urgent care larkspur,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,0.21,0.21,100.00%,100.00%
cyst drained at urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,16.42,16.42,100.00%,100.00%
urgent care near 94104,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,14.05,14.05, --, --
urgent care dermatologists,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.47,27.47,100.00%,100.00%
urgent care no insurance san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - PMM,NoInsurance,1,0,USD,7.15,7.15,100.00%,100.00%
urgent care sanfrancisco allied health insurance,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,13.47,13.47,100.00%,100.00%
urgent care near me open,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,8,0,USD,18.15,145.16,100.00%,100.00%
san francisco urgent care,Exact match,Excluded,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,2,0,USD,11.86,23.72,90.00%,100.00%
urgent care 94105,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,2,1,USD,20.11,40.21,66.67%,83.33%
urgent care near 100 montgomery st,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,10.47,10.47, --, --
direct urgent care inc grand ave oajland,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,10.47,10.47,100.00%,100.00%
action care urgent care near me,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,2,0,USD,18.68,37.36,100.00%,100.00%
urgent care dignity no insurance,Broad match,None,Non-Brand - Urgent Care - SF - PMM,NoInsurance,1,0,USD,12.38,12.38,100.00%,100.00%
can urgent care doctors give mri referrals,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,19.43,19.43,100.00%,100.00%
i doctors near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,2.6,2.6,100.00%,100.00%
urgent care shoreline mountain view,Broad match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,3.9,3.9,100.00%,100.00%
urgent care in sf,Exact match (close variant),None,Non-Brand - Urgent Care - SF - Exact - Computers,Urgent Care,1,0,USD,1.96,1.96, --, --
alignment health plan urgent care locations,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,17.69,17.69,100.00%,100.00%
adhd doctor near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,15.43,15.43,100.00%,100.00%
what is urgent care,Phrase match,Excluded,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,26.49,26.49,100.00%,100.00%
urgent care flu shots,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,17.6,17.6,100.00%,100.00%
medical doctors near me 94115,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,2,0,USD,5.84,11.67,100.00%,100.00%
urgent care on el camino in mountain view,Broad match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,17.59,17.59,100.00%,100.00%
urgent care bluecross blueshield,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.98,27.98,100.00%,100.00%
best doctors for babies near me,Broad match,None,Non-Brand - Doctors - SF - Mobile,Doctors,2,0,USD,14.21,28.41, --, --
rheumatologist doctor near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,2.61,2.61,100.00%,100.00%
brown and toland urgent care san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - PMM,Brown & Toland,1,0,USD,14.87,14.87,100.00%,100.00%
emergency clinic near me,Exact match (close variant),None,Non-Brand - Urgent Care - CU - Exact - Mobile,Urgent Care,1,0,USD,21.69,21.69,100.00%,100.00%
carbon health urgent care mountain view fax number,Phrase match (close variant),None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.54,27.54,100.00%,100.00%
stanford mountain view urgent care,Broad match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,1,USD,2.07,2.07,0.00%,100.00%
sfo airport urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.49,27.49,100.00%,100.00%
does my anthem ppo cover a urine test through urgent care facilities,Broad match,None,Non-Brand - Urgent Care - SF - PMM,Anthem,1,0,USD,14.86,14.86,100.00%,100.00%
urgent care liverore,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,21.44,21.44,100.00%,100.00%
stanford alliance urgent care 94025,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,2,1,USD,14.89,29.78,0.00%,100.00%
direct urgent care east bay,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,24.4,24.4,100.00%,100.00%
urgent care sports physicals,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,16.68,16.68,100.00%,100.00%
bay areaurgent care,Phrase match (close variant),None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0.5,USD,5.51,5.51, --, --
urgent care teeth,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,15.08,15.08,100.00%,100.00%
pediartic urgenet care orlnado,Phrase match (close variant),None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,19.78,19.78, --, --
mountainview urgent care or stanford health,Broad match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,14.84,14.84,100.00%,100.00%
